Brand,Model,picture,Price,,,,,,,,,,,,,,,,,,,,,,,
Reach,Rcn 21,https://i.gadgets360cdn.com/products/laptops/large/1546452972_635_reach_rcn-21.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,73.63,,,,,,,,,,,,,,,,,,,,,,,
Reach,Rcn 21,https://i.gadgets360cdn.com/products/laptops/large/1546452972_635_reach_rcn-21.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,73.63,,,,,,,,,,,,,,,,,,,,,,,3
Reach,Rcn 021W,https://i.gadgets360cdn.com/products/laptops/large/1546455462_635_reach_rcn-021w.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,73.63,,,,,,,,,,,,,,,,,,,,,,,3
Reach,Rcn 021W,https://i.gadgets360cdn.com/products/laptops/large/1546455462_635_reach_rcn-021w.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,73.63,,,,,,,,,,,,,,,,,,,,,,,3
Reach,Cosmos RCN-021,https://i.gadgets360cdn.com/products/laptops/large/1525204435_635_cosmos-rcn-021.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,80.65,,,,,,,,,,,,,,,,,,,,,,,3
iBall,CompBook OHD,https://i.gadgets360cdn.com/products/laptops/large/1546454370_635_iball_compbook-ohd.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,85.41,,,,,,,,,,,,,,,,,,,,,,,
iBall,CompBook OHD,https://i.gadgets360cdn.com/products/laptops/large/1546454370_635_iball_compbook-ohd.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,85.41,,,,,,,,,,,,,,,,,,,,,,,3
Reach,Cosmos RCN-022,https://i.gadgets360cdn.com/products/laptops/large/1525204436_635_cosmos-rcn-022.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,88.34,,,,,,,,,,,,,,,,,,,,,,,3
Micromax,Canvas L1160,https://gadgets.ndtv.com/static/icons/laptop_icon.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,90.24,,,,,,,,,,,,,,,,,,,,,,,1
Reach,Rcn 22,https://i.gadgets360cdn.com/products/laptops/large/1546452999_635_reach_rcn-22.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,90.24,,,,,,,,,,,,,,,,,,,,,,,3
Reach,Rcn 22,https://i.gadgets360cdn.com/products/laptops/large/1546452999_635_reach_rcn-22.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,90.24,,,,,,,,,,,,,,,,,,,,,,,3
Micromax,Canvas LT666,https://i.gadgets360cdn.com/products/laptops/large/1525202394_635_canvas-lt666.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,90.25,,,,,,,,,,,,,,,,,,,,,,,1
iBall,CompBook Excelance,https://i.gadgets360cdn.com/products/laptops/large/1546453540_635_iball_compbook-excelance.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,94.05,,,,,,,,,,,,,,,,,,,,,,,1
iBall,CompBook Excelance,https://i.gadgets360cdn.com/products/laptops/large/1546453540_635_iball_compbook-excelance.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,94.05,,,,,,,,,,,,,,,,,,,,,,,3
iLife,Zed Book,https://i.gadgets360cdn.com/products/laptops/large/1546455308_635_ilife_zed-book.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,94.91,,,,,,,,,,,,,,,,,,,,,,,
iLife,Zed Book,https://i.gadgets360cdn.com/products/laptops/large/1546455308_635_ilife_zed-book.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,94.91,,,,,,,,,,,,,,,,,,,,,,,3
Micromax,Canvas L1161,https://i.gadgets360cdn.com/products/laptops/large/1546453570_635_micromax_canvas-l1161.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,94.91,,,,,,,,,,,,,,,,,,,,,,,
Lava,Helium C121,https://i.gadgets360cdn.com/products/laptops/large/1546454710_635_lava_helium-c121.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,94.99,,,,,,,,,,,,,,,,,,,,,,,3
Lava,Helium C121,https://i.gadgets360cdn.com/products/laptops/large/1546454710_635_lava_helium-c121.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,94.99,,,,,,,,,,,,,,,,,,,,,,,3
